_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hitzig.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex	0.8620244571633592	-0.3130348581617915	FALSE	BOW	1027	weight	all	5-5	1000	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex	0.91270429670642494	-0.2884875956934928	FALSE	BOW	1027	weight	all	5-5	5000	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex	1.2533353203537063	-0.3053844899187647	FALSE	BOW	1027	weight	all	5-5	FOC	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex	-0.4918326336584559	-0.7624328068483206	FALSE	BOW	1184	no	lex	5-5	1000	lex	492	6	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex	-0.3058881942819713	-0.6653114149137263	FALSE	BOW	1184	no	lex	5-5	5000	lex	492	6	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex	0.23967906352063556	-0.28141312303167504	FALSE	BOW	1184	no	lex	5-5	FOC	lex	492	6	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex	0.06614785242163854	-0.370977691429637	FALSE	BOW	792	selection	lex	5-5	1000	lex	485	6	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex	0.18596066841007705	-0.3602048331835992	FALSE	BOW	792	selection	lex	5-5	5000	lex	485	6	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex	0.5474730847639292	-0.19920892054819367	FALSE	BOW	792	selection	lex	5-5	FOC	lex	485	6	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex	1.0074830837236215	-0.5157493119586593	FALSE	BOW	792	weight	lex	5-5	1000	lex	485	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex	1.020793920065509	-0.4727458498459627	FALSE	BOW	792	weight	lex	5-5	5000	lex	485	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex	1.2794708615828392	-0.4273589538597743	FALSE	BOW	792	weight	lex	5-5	FOC	lex	485	4	hitzig.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex
