cw	pmi_4	raw_4	freq
Halbzeit/NN	3.1261983	3	8901
Hallo/NN	-0.16861963	1	84869
Hals/NN	1.400242	1	16833
Hamburger/ADJ	0.6738581	1	34135
Hand./NN	1.6052892	1	12382
Handball-Oberliga-Aufsteiger/NN	11.013845	1	1
Handel/NN	0.4722573	1	41723
Handgemenge/NN	5.645244	2	492
Handlung/NN	0.97957045	2	49780
Hansheiner/NE	5.914741	1	170
Hau-das-Stück-Manier/NN	11.013845	1	1
Hauptthema/NN	3.4914448	1	2261
Haus/NN	0.014393968	4	267130
Haushalt/NN	0.30581143	1	48585
Haushaltsdebatte/NN	6.1244364	2	297
Haushaltsdiskussion/NN	7.963388	1	24
Haustür/NN	2.6066062	1	5071
Haß/NN	1.2495477	1	19257
Heike_Jackler/NN	6.8204093	1	171
Heilige/NN	0.30085602	1	49066
Heiliggeistkirche/NN	6.539353	1	95
Held/NN	1.936008	3	29468
Helfen/NN	3.6543775	1	1989
Helga/NE	2.4072683	1	6830
Herd/NN	1.8078014	1	11160
Herr/NN	0.48850152	7	305836
Herz/NN	-0.5158835	1	113409
Herzensammeln/NN	11.013845	1	1
Herzentzündung/NN	8.966152	1	10
Hetze/NN	3.2598996	1	2578
Himmel/NN	0.04571567	1	65282
Hin-/TRU	3.3366182	1	2357
Hintergrund/NN	0.5739262	2	81108
Hinterzimmer/NN	4.5510106	1	710
Hirnforscher/NN	5.4674478	2	585
Historiker-Streit/NN	8.888594	1	9
Historiker/NN	2.5600798	3	15577
Historikerstreit/NN	5.222357	1	377
Hitler/NE	2.4090714	5	31412
Hochhuths/NE	6.5508146	1	100
Hoffmann/NE	2.5752623	2	11166
Holzkreuz/NN	5.07862	1	416
Homberg/NE	6.568257	1	100
Hoshi/NE	5.036543	1	474
Hotte/NN	5.7948413	1	236
Hotti/NE	7.9003296	1	26
Hyun/NE	6.7689276	1	76
Hälfte/NN	-0.06173569	1	70077
Hän-/TRU	9.332087	2	11
Häring/NN	6.0722027	1	166
Höhepunkt/NN	1.7503312	2	25498
Höllische/NN	7.810083	1	27
Hündin/NN	3.9010084	2	2789
Hütte/NN	1.8027924	1	11190
IAM/NE	5.8547897	1	193
IGLU-Test/NN	8.674446	1	11
Imbißbudenbesitzer/NN	8.571498	1	12
Impression/NN	3.7485027	1	1693
Indígena-Organisationen/NN	7.731994	1	28
Infografiken/NN	6.7148604	1	86
Information/NN	-1.3055725	1	270027
Inschrift/NN	2.933569	1	3743
Insider/NN	3.267112	1	2738
Institution/NN	0.1667653	1	55582
Internet/NN	-0.753588	1	152207
Internetdiskussion/NN	8.374787	1	17
Irak-Krieg/NN	3.6244354	4	7287
Islamisten/NN	2.7062006	1	4501
Island/NE	1.9183264	1	10164
Israel/NE	1.190493	5	104385
Itzig/NE	8.448895	1	14
J./NE	0.79923505	1	33431
JC/NE	4.059445	1	1605
Jagd/NN	1.554099	1	14259
Jahr/NN	-0.05234125	23	1608053
Jahrestag/NN	2.2460682	1	9473
Jahrezehnten/NN	8.627378	1	11
Jahrgang/NN	2.5621953	3	16005
Jahrtausend/NN	1.7793121	1	11333
Jahrzehnt/NN	1.6493039	4	50289
Jakobsen/NE	6.7961774	1	77
Jameson/NN	6.228961	2	272
Jane/NE	2.9490905	1	3790
Japan/NE	0.7203021	1	33448
Jazzfieber/NN	10.454229	1	2
Jens/NE	1.6621895	1	14389
John/NE	1.2872773	2	40333
Jose/NE	3.6251307	1	1847
Juli/NN	0.17916209	2	145675
Julius/NE	5.2050323	14	5460
Junge/NN	0.10423514	1	61507
Junggeselle/NN	4.439467	1	813
Jurist/NN	1.7525977	1	11705
Jäger/NN	1.5643991	1	14501
K./NE	1.020871	1	26534
Kabale/NN	4.732747	1	594
Kaffeetisch/NN	6.177563	1	140
Kalessan/NE	6.546501	1	110
Kalte/NN	3.6954713	1	1718
Kameraführung/NN	4.665799	1	655
Kampagne/NN	0.95652646	1	25739
Kampf/NN	1.9808822	12	109965
Kampfgetümmel/NN	6.427603	1	108
Kampfhunde-Debatte/NN	9.627551	1	6
Kampfmittel/NN	4.504517	1	727
Kandidatur/NN	2.8693836	1	3769
Kannibalismus/NN	4.6772404	1	670
Kanzler/NN	1.1782348	1	21343
Kapitalismus/NN	1.1000854	1	22565
Kardinal/NN	1.4928265	1	15455
Karelin/NE	9.015749	1	8
Karikatur/NN	3.0688653	1	3239
Karl-Josef/NE	5.0280213	1	494
Karlsruher/ADJ	2.5887122	1	5071
Kaste/NN	2.860819	2	7962
Katastrophenbeschreiber/NN	11.013845	1	1
Kategorie/NN	0.44625616	1	45895
Kater/NN	2.6171823	1	5125
Katz-/TRU	6.703046	1	83
Kellerclub/NN	8.257005	1	18
Kernenergie/NN	3.3208191	1	2426
Kernfusion/NN	4.381843	1	867
Kiefer/NN	3.4675968	2	4354
"Kifaya""-Jugend/NN"	9.032844	1	8
Kind/NN	-2.314344	1	683198
Kindchens/NN	9.915233	1	3
Kindergeschrei/NN	6.300942	1	132
Kirche/NN	-1.0781823	1	196714
Klassenstruktur/NN	6.056259	1	159
Klima/NN	1.8569977	2	21466
Klingonen/NN	3.7010415	1	1666
Klubsitzung/NN	8.723839	1	12
Kneipe/NN	2.9065769	2	7339
Knesset/NN	4.097254	1	1110
Koalition/NN	1.038467	1	23524
Koch/NE	1.5569376	1	15338
Kohl/NN	2.0089157	1	9006
Kollege/NN	-0.03182307	1	69034
Kombattant/NN	4.720888	1	583
Kommentar/NN	-0.19337869	1	95509
Kommunikationspannen/NN	9.627551	1	4
Kompetenz/NN	0.48949537	1	40639
Kompetenzstreitigkeit/NN	6.31792	1	118
Kompost/NN	4.5209107	3	2292
Konferenzzimmer/NN	6.8035707	1	74
