cw	pmi_4	raw_4	freq
3-Gang-Menü/NN	4.757149	1	28
3./ADJ	-0.9492327	17	171065
3.JAnuar/NN	8.000717	1	1
3/4/CAR	0.47811443	1	2043
3/CAR	-1.127513	44	483556
30/CAR	0.8069269	113	191293
300/CAR	-0.35419944	8	37849
3000/CAR	-0.40951672	2	9932
3000u/min/NN	8.470721	1	1
300/NE	6.6789618	1	4
30°-/TRU	6.9021053	1	3
30°/ADJ	3.7945335	5	365
30°C/ADJ	5.6142507	1	14
30°C/NE	4.7025685	8	258
30°C/NN	4.95026	2	48
30°Celsius/NE	6.944665	1	3
30øC/NE	8.470721	1	1
31/CAR	-2.1875966	2	78874
313EURO/NE	8.000717	1	1
31°/ADJ	5.2926674	1	17
32,6oC/NN	8.470721	1	1
32/CAR	0.38969448	16	39911
320/CAR	-0.27745685	1	4629
32Gt/Jahr/NN	8.2884	1	1
32°/ADJ	6.247901	6	39
32°/NN	5.4650383	1	14
32°C/NN	5.4430056	4	67
33-jährig/ADJ	2.5735672	1	239
33/CAR	-0.7082236	5	37991
33°/ADJ	5.44543	2	28
33°C/NE	5.5529504	2	26
34°/ADJ	6.2809315	6	35
34°C/NE	6.0488725	3	27
34°C/NN	6.6789618	1	4
35/CAR	0.442402	23	55181
35grad/NN	8.000717	1	1
35o/ADV	7.372109	1	2
35°/ADJ	5.492135	10	134
35°/VVF	5.969285	1	9
35°C/NE	5.320124	4	68
35°C/NN	6.2734966	3	19
36/CAR	0.16086072	11	34543
3638/ADJ	7.5952525	2	3
36°/ADJ	4.9182343	2	50
36°C/NE	5.0239134	1	22
36°C/NN	7.372109	2	4
37,6°C/NN	8.000717	1	1
37,8°/ADJ	6.6461716	1	4
37/CAR	1.1006111	24	29986
370/CAR	0.07705237	1	3273
37°/ADJ	5.043206	2	43
37°C/NN	5.623489	5	63
38,9°/ADJ	8.000717	1	1
38C°/ADJ	8.000717	1	1
38°/ADJ	4.9249425	3	75
38°C/NE	5.388811	3	47
38°C/NN	6.944665	2	6
39/CAR	-0.5218314	5	32208
39°C/NN	6.2959695	1	6
3mal/ADJ	3.848366	3	214
3x/NE	2.2853358	1	356
3x/Tag/NN	8.000717	1	1
3°/ADJ	3.7522223	1	76
3°C/NE	6.307398	4	25
4'18er/NN	8.000717	1	1
4,5/CAR	0.081520356	2	6052
4,50/CAR	1.2203695	1	1060
4./ADJ	-1.265981	9	122756
4.h./NE	8.000717	1	1
4/CAR	-0.900471	39	340822
40,6°/ADJ	8.000717	1	1
40/CAR	0.28738794	40	104915
400/CAR	-1.0230222	3	27643
40000/CAR	1.7147193	1	593
400g/ADJ	3.4708097	1	110
40°/ADJ	4.151634	5	262
40°C/ADJ	6.5836515	3	13
40°C/NE	4.704109	6	180
40°C/NN	5.6434073	2	23
41/CAR	-1.3069198	2	27664
42m²/ADJ	8.000717	1	1
43,5C°/ADJ	7.3075705	1	2
43,5°/ADJ	8.000717	1	1
43/CAR	-1.9507505	1	26932
43ºC/ADJ	8.000717	1	1
43ºC/NN	7.372109	1	2
44/CAR	-1.4240032	2	31187
45/CAR	0.41517243	19	46654
450/CAR	-0.02279399	2	6976
450ml/NE	6.9021053	1	3
45°/ADJ	3.4281566	3	315
46/CAR	-1.1901724	2	24870
47-jährige/ADJ	3.2744365	1	137
48/CAR	-1.267709	2	26255
48qm/NE	7.5152097	1	2
4°/ADJ	4.351684	2	90
5,1/CAR	0.7183	1	1623
5,7/CAR	1.4293969	2	1589
5-/TRU	2.1445715	1	387
5.-November-/TRU	8.000717	1	1
5./ADJ	-1.2078495	8	100706
5.Mai/ADJ	4.2136908	1	49
5.Strategie/NN	8.000717	1	1
5.Welt-Land/NN	8.134249	2	2
5/CAR	-0.47427005	51	289056
50-Plus-Belegschaft/NN	8.000717	1	1
50/CAR	-0.1588848	33	132016
500/CAR	-0.28757817	10	44084
5000/CAR	-1.0157348	1	9122
50er/ADJ	-0.15187663	2	7414
50°/ADJ	4.0550985	3	173
50°C/ADJ	5.6142507	1	11
50°C/NE	4.64208	2	64
50øC/NE	8.000717	1	1
52/CAR	-1.792753	1	22491
53/CAR	-1.7482047	1	21268
54/CAR	-0.95280945	2	19456
55 Jahren/NN	7.682264	1	2
55°/ADJ	4.353311	1	42
55°C/NE	5.6258116	2	24
57jährig/ADJ	3.3918042	1	112
59/CAR	-1.5869029	1	18923
5:Nice/NN	8.000717	1	1
5K/NE	6.3912797	1	6
5km/NN	3.0519576	1	151
5°/ADJ	3.3696358	1	112
5°C/NE	5.1838126	5	93
6,1K/NE	8.134249	1	1
6-7°Celsius/NN	8.000717	1	1
6./ADJ	-1.7270225	4	83257
6/CAR	-0.699346	29	207258
60/CAR	-0.30019462	17	79628
600,-â¬/VVF	8.000717	2	2
600/CAR	-0.39252687	4	19647
600m/NN	3.9295561	1	64
600°C/ADJ	7.3075705	1	2
60°/ADJ	3.3726857	2	223
60°C/ADJ	5.235972	1	17
620/VVF	8.000717	1	1
64/CAR	-1.5933961	1	18106
65/CAR	-1.2521554	2	25633
650/CAR	-0.07754434	1	3635
