_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
heiss.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex	0.6171322627727542	0.2149356481886307	FALSE	BOW	1052	weight	all	5-5	FOC	lex	493	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
heiss.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex	0.5282148138933849	-1.8680970253233535	FALSE	BOW	1274	no	lex	5-5	1000	lex	492	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex	0.5643535312829041	-1.1787203843452403	FALSE	BOW	1274	no	lex	5-5	5000	lex	492	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex	0.46875749052258775	-0.6353600134975355	FALSE	BOW	1274	no	lex	5-5	FOC	lex	492	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex	0.8579125212912995	-1.0910705324247718	FALSE	BOW	832	selection	lex	5-5	1000	lex	481	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex	0.6315661448278459	-0.5935398968570698	FALSE	BOW	832	selection	lex	5-5	5000	lex	481	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex	0.6038827397106724	-0.4110166584200966	FALSE	BOW	832	selection	lex	5-5	FOC	lex	481	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex	1.024234822722301	-0.7951373986252506	FALSE	BOW	832	weight	lex	5-5	1000	lex	481	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex	0.8874691421871858	-0.4756598691483708	FALSE	BOW	832	weight	lex	5-5	5000	lex	481	8	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex	1.0026641186019132	-0.4421683118198144	FALSE	BOW	832	weight	lex	5-5	FOC	lex	481	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
